frame,track_id,class_id,confidence,xmin,ymin,xmax,ymax
80,7.0,0,0.3045,734.29,480.69,801.52,525.53
81,1.0,3,0.8272,682.54,472.27,823.02,765.49
81,2.0,4,0.4884,1830.94,138.61,1919.93,1058.24
81,3.0,4,0.1836,1615.17,504.30,1919.70,1077.83
81,7.0,0,0.3580,731.33,478.59,799.56,523.72
82,1.0,3,0.8647,681.88,471.61,823.54,765.84
82,2.0,4,0.4891,1831.02,139.67,1919.91,1058.43
82,3.0,4,0.1941,1615.23,504.12,1919.85,1077.82
82,7.0,0,0.4770,730.67,477.13,797.69,521.12
83,1.0,3,0.8555,681.25,468.99,824.97,766.35
83,2.0,4,0.4888,1831.04,139.77,1919.86,1057.82
83,3.0,4,0.2037,1615.23,504.39,1919.74,1077.79
83,7.0,0,0.4583,729.56,475.85,796.07,519.28
84,1.0,3,0.8703,679.61,466.70,824.87,766.86
84,2.0,4,0.4884,1831.09,140.57,1919.88,1058.29
84,3.0,4,0.1868,1614.98,504.20,1919.66,1077.80
84,7.0,0,0.2876,725.85,473.76,793.88,518.04
85,1.0,3,0.8587,680.32,465.84,826.30,766.83
85,2.0,4,0.4871,1831.05,141.60,1919.80,1058.64
85,3.0,4,0.1948,1614.87,503.60,1919.84,1077.77
86,1.0,3,0.8534,679.51,465.61,825.71,766.82
86,2.0,4,0.4800,1831.24,142.48,1919.92,1059.13
86,3.0,4,0.1839,1614.69,503.48,1919.74,1077.71
87,1.0,3,0.8523,679.67,465.43,825.90,766.43
87,2.0,4,0.4759,1831.22,143.08,1919.91,1059.77
87,3.0,4,0.1800,1614.55,503.28,1919.75,1077.71
88,1.0,3,0.8583,679.73,464.60,826.32,766.36
88,2.0,4,0.4739,1831.38,143.86,1919.97,1059.86
88,3.0,4,0.2021,1614.71,503.45,1919.81,1077.66
89,1.0,3,0.8535,679.95,463.61,826.69,766.27
89,2.0,4,0.4659,1831.45,143.02,1920.00,1059.66
89,3.0,4,0.1986,1614.74,503.89,1919.69,1077.70
90,1.0,3,0.8569,680.03,462.67,826.99,766.42
90,2.0,4,0.4682,1831.60,143.94,1920.00,1059.47
90,3.0,4,0.1956,1614.59,503.66,1919.72,1077.73
91,1.0,3,0.8050,679.89,460.71,827.50,766.54
91,2.0,4,0.4670,1831.72,145.01,1920.00,1060.62
91,3.0,4,0.2111,1614.71,504.06,1919.68,1077.73
92,1.0,3,0.8377,679.25,458.91,827.12,766.47
92,2.0,4,0.4691,1831.81,147.06,1920.00,1060.85
92,3.0,4,0.2171,1614.79,503.82,1919.87,1077.71
93,1.0,3,0.6756,678.72,456.42,827.58,766.89
93,2.0,4,0.4693,1831.74,147.05,1919.96,1060.92
93,3.0,4,0.2185,1615.13,504.72,1919.78,1077.71
94,1.0,3,0.6784,678.27,453.84,827.80,766.48
94,2.0,4,0.4717,1831.56,146.71,1919.80,1060.56
94,3.0,4,0.1984,1615.11,504.78,1919.76,1077.70
95,1.0,3,0.4691,677.82,450.10,828.84,766.79
95,2.0,4,0.4698,1831.46,145.58,1919.84,1060.90
95,3.0,4,0.2032,1615.21,505.25,1919.68,1077.71
96,1.0,3,0.4170,677.03,446.47,829.05,766.39
96,2.0,4,0.4645,1831.52,144.35,1919.94,1060.41
96,3.0,4,0.2005,1615.14,504.81,1919.86,1077.74
97,1.0,3,0.5057,675.72,440.93,829.59,766.26
97,2.0,4,0.4652,1831.53,144.00,1919.91,1059.65
97,3.0,4,0.2044,1615.20,504.67,1919.98,1077.75
98,1.0,3,0.2965,676.14,437.00,831.50,766.45
98,2.0,4,0.4612,1831.53,142.74,1920.00,1061.18
98,3.0,4,0.2134,1615.18,504.99,1919.80,1077.67
99,1.0,3,0.6012,676.09,440.49,830.23,768.03
99,2.0,4,0.4684,1831.64,144.46,1920.00,1060.89
99,3.0,4,0.2066,1614.89,504.40,1919.83,1077.65
100,1.0,3,0.7698,678.06,445.24,831.20,770.83
100,2.0,4,0.4693,1831.55,144.33,1919.86,1059.90
100,3.0,4,0.1914,1614.42,503.08,1920.00,1077.65
101,1.0,3,0.6892,680.13,452.25,830.87,771.77
101,2.0,4,0.4628,1831.58,144.77,1919.89,1060.51
101,3.0,4,0.1973,1614.34,502.92,1920.00,1077.68
102,1.0,3,0.6383,680.78,451.24,831.92,771.91
102,2.0,4,0.4684,1831.56,145.28,1919.82,1060.26
102,3.0,4,0.1865,1614.35,502.62,1920.00,1077.67
103,1.0,3,0.4364,681.14,448.06,834.78,773.95
103,2.0,4,0.4670,1831.48,144.98,1919.78,1060.27
103,3.0,4,0.2035,1614.58,503.53,1919.92,1077.67
104,1.0,4,0.4893,660.91,383.86,867.13,834.08
104,2.0,4,0.4691,1831.44,144.61,1919.79,1060.25
104,3.0,4,0.2051,1614.80,504.17,1919.80,1077.61
105,1.0,3,0.5253,671.04,413.73,847.56,799.49
105,2.0,4,0.4608,1831.41,143.86,1919.93,1061.45
105,3.0,4,0.2024,1614.86,504.11,1919.88,1077.57
106,1.0,3,0.6318,676.28,422.99,840.00,781.22
106,2.0,4,0.4617,1831.40,143.12,1920.00,1062.02
106,3.0,4,0.2026,1614.82,504.40,1919.74,1077.58
107,1.0,3,0.6783,678.58,429.37,836.19,774.86
107,2.0,4,0.4629,1831.46,143.33,1919.95,1061.26
107,3.0,4,0.1922,1614.81,504.18,1919.83,1077.55
108,1.0,3,0.7496,678.87,425.23,836.93,772.89
108,2.0,4,0.4644,1831.58,144.70,1919.91,1061.01
108,3.0,4,0.2001,1614.88,504.94,1919.61,1077.58
108,11.0,0,0.6914,770.87,293.67,853.00,344.39
109,1.0,3,0.6430,678.19,415.49,839.44,772.05
109,2.0,4,0.4611,1831.66,145.48,1919.86,1060.40
109,3.0,4,0.2139,1614.96,505.14,1919.65,1077.62
109,11.0,0,0.5963,780.28,280.46,857.48,328.14
